,title,keywords,id,genres,cast,director,soup
1898,Unaccompanied Minors,holiday,18147,Comedy Family,Lewis Black Wilmer Valderrama Tyler James Williams Dyllan Christopher Brett Kelly,Paul Feig,unaccompani minor holiday 18147 comedi famili lewi black wilmer valderrama tyler jame william dyllan christoph brett kelli paul feig
1899,"Bright Lights, Big City",magazine writer drug fashion show,17170,Drama,Michael J. Fox Kiefer Sutherland Phoebe Cates Jason Robards Dianne Wiest,James Bridges,"bright lights, big citi magazin writer drug fashion show 17170 drama michael j. fox kiefer sutherland phoeb cate jason robard diann wiest jame bridg"
1900,The Adventures of Pinocchio,italy father son relationship pinocchio love school,18975,Animation Family Fantasy,Martin Landau Jonathan Taylor Thomas Genevi\u00e8ve Bujold Udo Kier Bebe Neuwirth,Steve Barron,the adventur of pinocchio itali father son relationship pinocchio love school 18975 anim famili fantasi martin landau jonathan taylor thoma genevi\u00e8v bujold udo kier bebe neuwirth steve barron
1901,The Greatest Game Ever Played,sport,15487,Drama Family,Shia LaBeouf Stephen Dillane Josh Flitter Peter Firth Peyton List,Bill Paxton,the greatest game ever play sport 15487 drama famili shia labeouf stephen dillan josh flitter peter firth peyton list bill paxton
1902,The Box,experiment homicide key sacrifice research,22825,Thriller Science Fiction,Cameron Diaz James Marsden Frank Langella Michael Zegen James Rebhorn,Richard Kelly,the box experi homicid key sacrific research 22825 thriller scienc fiction cameron diaz jame marsden frank langella michael zegen jame rebhorn richard kelli
1903,The Ruins,maya civilization carnivorous plant canc\u00fan ruins,11152,Drama Horror,Shawn Ashmore Jonathan Tucker Jena Malone Laura Ramsey Joe Anderson,Carter Smith,the ruin maya civil carnivor plant canc\u00fan ruin 11152 drama horror shawn ashmor jonathan tucker jena malon laura ramsey joe anderson carter smith
1904,The Next Best Thing,gay parents kids relationship custody battle flush yoga,1831,Comedy,Madonna Rupert Everett Benjamin Bratt Malcolm Stumpf Josef Sommer,John Schlesinger,the next best thing gay parent kid relationship custodi battl flush yoga 1831 comedi madonna rupert everett benjamin bratt malcolm stumpf josef sommer john schlesing
1905,My Soul to Take,soul serial killer slasher teenager 3d,43931,Drama Horror Mystery Thriller,Max Thieriot John Magaro Denzel Whitaker Zena Grey Nick Lashaway,Wes Craven,my soul to take soul serial killer slasher teenag 3d 43931 drama horror mysteri thriller max thieriot john magaro denzel whitak zena grey nick lashaway we craven
1906,The Girl Next Door,porn actor pornographic video high school school party blonde,10591,Comedy,Emile Hirsch Elisha Cuthbert Timothy Olyphant James Remar Chris Marquette,Luke Greenfield,the girl next door porn actor pornograph video high school school parti blond 10591 comedi emil hirsch elisha cuthbert timothi olyph jame remar chri marquett luke greenfield
1907,Maximum Risk,mistake in person dying and death twin brother russian mafia,10861,Action Adventure Thriller,Jean-Claude Van Damme Natasha Henstridge Jean-Hugues Anglade Zach Grenier Paul Ben-Victor,Ringo Lam,maximum risk mistak in person die and death twin brother russian mafia 10861 action adventur thriller jean-claud van damm natasha henstridg jean-hugu anglad zach grenier paul ben-victor ringo lam
1908,Stealing Harvard,robbery fool studies house uncle,12770,Action Comedy Drama,Jason Lee Tom Green Leslie Mann Dennis Farina John C. McGinley,Bruce McCulloch,steal harvard robberi fool studi hous uncl 12770 action comedi drama jason lee tom green lesli mann denni farina john c. mcginley bruce mcculloch
1909,Legend,biography based on true story gangster twins,276907,Crime Thriller,Tom Hardy Emily Browning Christopher Eccleston David Thewlis Taron Egerton,Brian Helgeland,legend biographi base on true stori gangster twin 276907 crime thriller tom hardi emili brown christoph eccleston david thewli taron egerton brian helgeland
1910,Hot Rod,stuntman step father swimming pool aftercreditsstinger,10074,Action Comedy,Andy Samberg Isla Fisher Bill Hader Sissy Spacek Danny McBride,Akiva Schaffer,hot rod stuntman step father swim pool aftercreditssting 10074 action comedi andi samberg isla fisher bill hader sissi spacek danni mcbride akiva schaffer
1911,Shark Night,shark attack louisiana dirty cop shark aftercreditsstinger,65055,Horror Thriller,Sara Paxton Chris Carmack Joel David Moore Chris Zylka Dustin Milligan,David R. Ellis,shark night shark attack louisiana dirti cop shark aftercreditssting 65055 horror thriller sara paxton chri carmack joel david moor chri zylka dustin milligan david r. elli
1912,Angela's Ashes,emigration irish-american hunger socially deprived family famine,10397,Drama,Emily Watson Robert Carlyle Joe Breen Michael Legge Ciaran Owens,Alan Parker,angela' ash emigr irish-american hunger social depriv famili famin 10397 drama emili watson robert carlyl joe breen michael legg ciaran owen alan parker
1913,Draft Day,sport duringcreditsstinger,200505,Drama,Kevin Costner Jennifer Garner Tom Welling Sam Elliott Terry Crews,Ivan Reitman,draft day sport duringcreditssting 200505 drama kevin costner jennif garner tom well sam elliott terri crew ivan reitman
1914,Lifeforce,space marine vampire flying saucer comet alien,11954,Fantasy Horror Science Fiction Thriller,Steve Railsback Peter Firth Frank Finlay Mathilda May Patrick Stewart,Tobe Hooper,lifeforc space marin vampir fli saucer comet alien 11954 fantasi horror scienc fiction thriller steve railsback peter firth frank finlay mathilda may patrick stewart tobe hooper
1915,The Conspirator,president history conspiracy lawyer trial,60309,Crime Drama History,Evan Rachel Wood James McAvoy Kevin Kline Robin Wright Alexis Bledel,Robert Redford,the conspir presid histori conspiraci lawyer trial 60309 crime drama histori evan rachel wood jame mcavoy kevin kline robin wright alexi bledel robert redford
1916,Lords of Dogtown,skateboarding success independent film woman director,9787,Drama,Emile Hirsch Victor Rasuk Rebecca De Mornay John Robinson Michael Angarano,Catherine Hardwicke,lord of dogtown skateboard success independ film woman director 9787 drama emil hirsch victor rasuk rebecca de mornay john robinson michael angarano catherin hardwick
1917,The 33,mining chile based on true story survival woman director,293646,Drama History,Antonio Banderas Rodrigo Santoro Juliette Binoche James Brolin Lou Diamond Phillips,Patricia Riggen,the 33 mine chile base on true stori surviv woman director 293646 drama histori antonio bandera rodrigo santoro juliett binoch jame brolin lou diamond phillip patricia riggen
1918,Big Trouble in Little China,kung fu chinatown magic mystery,6978,Action Adventure Comedy Fantasy,Kurt Russell Kim Cattrall Dennis Dun James Hong Victor Wong,John Carpenter,big troubl in littl china kung fu chinatown magic mysteri 6978 action adventur comedi fantasi kurt russel kim cattral denni dun jame hong victor wong john carpent
1919,Fly Me to the Moon,,133698,Comedy Romance,Diane Kruger Dany Boon Alice Pol Robert Plagnol Jonathan Cohen,Pascal Chaumeil,fli me to the moon nan 133698 comedi romanc dian kruger dani boon alic pol robert plagnol jonathan cohen pascal chaumeil
1920,Warrior,bank training beating mixed martial arts teacher,59440,Action Drama,Tom Hardy Jennifer Morrison Nick Nolte Joel Edgerton Frank Grillo,Gavin O'Connor,warrior bank train beat mix martial art teacher 59440 action drama tom hardi jennif morrison nick nolt joel edgerton frank grillo gavin o'connor
1921,Michael Collins,civil war fight presidential election freedom fighter chinese civil war,1770,Drama Thriller,Liam Neeson Aidan Quinn Stephen Rea Alan Rickman Julia Roberts,Neil Jordan,michael collin civil war fight presidenti elect freedom fighter chines civil war 1770 drama thriller liam neeson aidan quinn stephen rea alan rickman julia robert neil jordan
1922,Gettysburg,civil war independence troops army battle,10655,War Drama History,Jeff Daniels Tom Berenger Martin Sheen Sam Elliott Stephen Lang,Ronald F. Maxwell,gettysburg civil war independ troop armi battl 10655 war drama histori jeff daniel tom bereng martin sheen sam elliott stephen lang ronald f. maxwel
1923,Stop-Loss,post traumatic stress  disorder iraq war veteran u.s. soldier woman director,8988,Drama War,Ryan Phillippe Abbie Cornish Joseph Gordon-Levitt Channing Tatum Josef Sommer,Kimberly Peirce,stop-loss post traumat stress disord iraq war veteran u.s. soldier woman director 8988 drama war ryan phillipp abbi cornish joseph gordon-levitt chan tatum josef sommer kimberli peirc
1924,Abandon,alcohol detective dancer nightmare college,15992,Drama Mystery Thriller,Katie Holmes Benjamin Bratt Charlie Hunnam Zooey Deschanel Fred Ward,Stephen Gaghan,abandon alcohol detect dancer nightmar colleg 15992 drama mysteri thriller kati holm benjamin bratt charli hunnam zooey deschanel fred ward stephen gaghan
1925,Brokedown Palace,holiday prison thailand drug injustice,17707,Drama Thriller,Claire Danes Kate Beckinsale Bill Pullman Jacqueline Kim Lou Diamond Phillips,Jonathan Kaplan,brokedown palac holiday prison thailand drug injustic 17707 drama thriller clair dane kate beckinsal bill pullman jacquelin kim lou diamond phillip jonathan kaplan
1926,The Possession,,77883,Horror Thriller,Jeffrey Dean Morgan Natasha Calis Madison Davenport Kyra Sedgwick Rob LaBelle,Ole Bornedal,the possess nan 77883 horror thriller jeffrey dean morgan natasha cali madison davenport kyra sedgwick rob label ole borned
1927,Mrs. Winterbourne,role reversal mistaken identity train wreck,40001,Comedy Romance Drama,Shirley MacLaine Ricki Lake Brendan Fraser Jane Krakowski Loren Dean,Richard Benjamin,mrs. winterbourn role revers mistaken ident train wreck 40001 comedi romanc drama shirley maclain ricki lake brendan fraser jane krakowski loren dean richard benjamin
1928,Straw Dogs,southern usa rape bar wife husband relationship barn,64639,Drama Thriller,James Marsden Kate Bosworth Alexander Skarsg\u00e5rd Dominic Purcell Laz Alonso,Rod Lurie,straw dog southern usa rape bar wife husband relationship barn 64639 drama thriller jame marsden kate bosworth alexand skarsg\u00e5rd domin purcel laz alonso rod luri
1929,The Hoax,flying 1970s false identity biography,9903,Comedy Drama,Richard Gere Alfred Molina Marcia Gay Harden Hope Davis Julie Delpy,Lasse Hallstr\u00f6m,the hoax fli 1970 fals ident biographi 9903 comedi drama richard gere alfr molina marcia gay harden hope davi juli delpi lass hallstr\u00f6m
1930,Stone Cold,undercover fbi biker cop motorcycle gang,21338,Action Crime Thriller,Brian Bosworth Lance Henriksen William Forsythe Arabella Holzbog Sam McMurray,Craig R. Baxley,stone cold undercov fbi biker cop motorcycl gang 21338 action crime thriller brian bosworth lanc henriksen william forsyth arabella holzbog sam mcmurray craig r. baxley
1931,The Road,post-apocalyptic dystopia paternity duringcreditsstinger,20766,Adventure Drama,Viggo Mortensen Kodi Smit-McPhee Charlize Theron Robert Duvall Guy Pearce,John Hillcoat,the road post-apocalypt dystopia patern duringcreditssting 20766 adventur drama viggo mortensen kodi smit-mcphe charliz theron robert duval guy pearc john hillcoat
1932,Sheena,africa mercenary adventure female hero jungle girl,24264,Action Adventure Comedy Fantasy Science Fiction,Tanya Roberts Ted Wass Donovan Scott Elizabeth of Toro France Zobda,John Guillermin,sheena africa mercenari adventur femal hero jungl girl 24264 action adventur comedi fantasi scienc fiction tanya robert ted wass donovan scott elizabeth of toro franc zobda john guillermin
1933,Underclassman,police high school undercover cop,19803,Action Comedy,Nick Cannon Roselyn S\u00e1nchez Shawn Ashmore Cheech Marin Kelly Hu,Marcos Siega,underclassman polic high school undercov cop 19803 action comedi nick cannon roselyn s\u00e1nchez shawn ashmor cheech marin kelli hu marco siega
1934,Say It Isn't So,,20309,Comedy Romance,Chris Klein Heather Graham Orlando Jones Sally Field Richard Jenkins,J.B. Rogers,say it isn't so nan 20309 comedi romanc chri klein heather graham orlando jone salli field richard jenkin j.b. roger
1935,The World's Fastest Indian,new zealand utah life's dream independent film motorcycle,9912,Drama,Anthony Hopkins Iain Rea Tessa Mitchell Aaron Murphy Tim Shadbolt,Roger Donaldson,the world' fastest indian new zealand utah life' dream independ film motorcycl 9912 drama anthoni hopkin iain rea tessa mitchel aaron murphi tim shadbolt roger donaldson
1936,Tank Girl,destroy dystopia reincarnation desert artial arts,9067,Action Comedy Fantasy Science Fiction,Lori Petty Ice-T Naomi Watts Malcolm McDowell Iggy Pop,Rachel Talalay,tank girl destroy dystopia reincarn desert artial art 9067 action comedi fantasi scienc fiction lori petti ice-t naomi watt malcolm mcdowel iggi pop rachel talalay
1937,King's Ransom,caper action,27360,Comedy Crime,Anthony Anderson Jay Mohr Kellita Smith Brooke D'Orsay Donald Faison,Jeffrey W. Byrd,king' ransom caper action 27360 comedi crime anthoni anderson jay mohr kellita smith brook d'orsay donald faison jeffrey w. byrd
1938,Blindness,fight blindness and impaired vision asylum leader society,8338,Drama Mystery Science Fiction Thriller,Julianne Moore Mark Ruffalo Alice Braga Gael Garc\u00eda Bernal Danny Glover,Fernando Meirelles,blind fight blind and impair vision asylum leader societi 8338 drama mysteri scienc fiction thriller juliann moor mark ruffalo alic braga gael garc\u00eda bernal danni glover fernando meirel
1939,BloodRayne,vampire vampire hunter based on video game romania,168705,Action Adventure Fantasy Horror,Kristanna Loken Ben Kingsley Michelle Rodriguez Michael Madsen Matthew Davis,Uwe Boll,bloodrayn vampir vampir hunter base on video game romania 168705 action adventur fantasi horror kristanna loken ben kingsley michel rodriguez michael madsen matthew davi uwe boll
1940,Carnage,flat mobile phone hamster insult dark comedy,72113,Comedy Drama,Kate Winslet Jodie Foster Christoph Waltz John C. Reilly Elvis Polanski,Roman Polanski,carnag flat mobil phone hamster insult dark comedi 72113 comedi drama kate winslet jodi foster christoph waltz john c. reilli elvi polanski roman polanski
1941,Where the Truth Lies,sex journalist journalism 1970s entertainer,9729,Drama Mystery Thriller,Kevin Bacon Colin Firth Alison Lohman David Hayman Rachel Blanchard,Atom Egoyan,where the truth lie sex journalist journal 1970 entertain 9729 drama mysteri thriller kevin bacon colin firth alison lohman david hayman rachel blanchard atom egoyan
1942,Cirque du Soleil: Worlds Away,clown music mimes cirque du soleil carnies,94352,Fantasy Family,Erica Linz Igor Zaripov Matt Gillanders Jason Berrent Dallas Barnett,Andrew Adamson,cirqu du soleil: world away clown music mime cirqu du soleil carni 94352 fantasi famili erica linz igor zaripov matt gilland jason berrent dalla barnett andrew adamson
1943,Without Limits,running olympic games sport athlete,22256,Drama,Billy Crudup Donald Sutherland Monica Potter Jeremy Sisto Matthew Lillard,Robert Towne,without limit run olymp game sport athlet 22256 drama billi crudup donald sutherland monica potter jeremi sisto matthew lillard robert town
1944,Me and Orson Welles,new york based on novel historical figure theater 1930s,12404,Comedy Drama Romance,Zac Efron Claire Danes Christian McKay Imogen Poots Zoe Kazan,Richard Linklater,me and orson well new york base on novel histor figur theater 1930 12404 comedi drama romanc zac efron clair dane christian mckay imogen poot zoe kazan richard linklat
1945,The Best Offer,painting auctioneer confidence game fine art honey pot,152742,Drama Romance Crime Mystery,Geoffrey Rush Jim Sturgess Sylvia Hoeks Donald Sutherland Maximilian Dirr,Giuseppe Tornatore,the best offer paint auction confid game fine art honey pot 152742 drama romanc crime mysteri geoffrey rush jim sturgess sylvia hoek donald sutherland maximilian dirr giusepp tornator
1946,The Bad Lieutenant: Port of Call - New Orleans,police brutality organized crime policeman illegal drugs murder investigation,11699,Drama Crime,Nicolas Cage Eva Mendes Val Kilmer Fairuza Balk Shawn Hatosy,Werner Herzog,the bad lieutenant: port of call - new orlean polic brutal organ crime policeman illeg drug murder investig 11699 drama crime nicola cage eva mend val kilmer fairuza balk shawn hatosi werner herzog
1947,A Turtle's Tale: Sammy's Adventures,global warming sea turtle 3d,49953,Animation Family,Yuri Lowenthal Gemma Arterton Isabelle Fuhrman Melanie Griffith Tim Curry,Ben Stassen,a turtle' tale: sammy' adventur global warm sea turtl 3d 49953 anim famili yuri lowenth gemma arterton isabel fuhrman melani griffith tim curri ben stassen
1948,Little White Lies,american football country house motorboat male female relationship thirty something,48034,Comedy Drama,Fran\u00e7ois Cluzet Marion Cotillard Beno\u00eet Magimel Gilles Lellouche Jean Dujardin,Guillaume Canet,littl white lie american footbal countri hous motorboat male femal relationship thirti someth 48034 comedi drama fran\u00e7oi cluzet marion cotillard beno\u00eet magimel gill lellouch jean dujardin guillaum canet
1949,Love Ranch,independent film,39845,Drama,Helen Mirren Joe Pesci Sergio Peris-Mencheta Gina Gershon Bai Ling,Taylor Hackford,love ranch independ film 39845 drama helen mirren joe pesci sergio peris-mencheta gina gershon bai ling taylor hackford
1950,The True Story of Puss 'n Boots,cat surrealism cartoon cat,25353,Family Adventure Animation,J\u00e9r\u00f4me Deschamps Yolande Moreau Louise Wallon Arthur Deschamps Jean-Claude Bolle-Reddat,J\u00e9r\u00f4me Deschamps,the true stori of puss 'n boot cat surreal cartoon cat 25353 famili adventur anim j\u00e9r\u00f4m deschamp yoland moreau louis wallon arthur deschamp jean-claud bolle-reddat j\u00e9r\u00f4m deschamp
1951,Space Dogs,russia space mission space outer space dog,36696,Family Animation,Anna Bolshova Evgeny Mironov Sergey Garmash Aleksandr Bashirov Elena Yakovleva,Inna Evlannikova,space dog russia space mission space outer space dog 36696 famili anim anna bolshova evgeni mironov sergey garmash aleksandr bashirov elena yakovleva inna evlannikova
1952,The Counselor,poetry lawyer drug smuggling drug trafficking red dress,109091,Thriller Crime Drama,Michael Fassbender Cameron Diaz Javier Bardem Goran Visnjic Pen\u00e9lope Cruz,Ridley Scott,the counselor poetri lawyer drug smuggl drug traffick red dress 109091 thriller crime drama michael fassbend cameron diaz javier bardem goran visnjic pen\u00e9lop cruz ridley scott
1953,Ironclad,ambush hero fight castle battlefield,38543,Romance Adventure Action History,James Purefoy Kate Mara Jason Flemyng Paul Giamatti Brian Cox,Jonathan English,ironclad ambush hero fight castl battlefield 38543 romanc adventur action histori jame purefoy kate mara jason flemyng paul giamatti brian cox jonathan english
1954,Waterloo,biography napoleon bonaparte waterloo,33157,History Action Drama,Rod Steiger Christopher Plummer Orson Welles Jack Hawkins Virginia McKenna,Sergey Bondarchuk,waterloo biographi napoleon bonapart waterloo 33157 histori action drama rod steiger christoph plummer orson well jack hawkin virginia mckenna sergey bondarchuk
1955,Kung Fu Jungle,martial arts kung fu serial killer,290864,Crime Action Thriller,Donnie Yen Charlie Yeung Wang Baoqiang Bai Bing Deep Ng,Teddy Chan,kung fu jungl martial art kung fu serial killer 290864 crime action thriller donni yen charli yeung wang baoqiang bai bing deep ng teddi chan
1956,Red Sky,love triangle middle east fight kidnapping missile,242166,Action Thriller,Cam Gigandet Rachael Leigh Cook Shane West Bill Pullman Brian Krause,Mario Van Peebles,red sky love triangl middl east fight kidnap missil 242166 action thriller cam gigandet rachael leigh cook shane west bill pullman brian kraus mario van peebl
1957,Dangerous Liaisons,lovesickness sexuality cheating cynic ladykiller,859,Drama Romance,Glenn Close John Malkovich Michelle Pfeiffer Swoosie Kurtz Keanu Reeves,Stephen Frears,danger liaison lovesick sexual cheat cynic ladykil 859 drama romanc glenn close john malkovich michel pfeiffer swoosi kurtz keanu reev stephen frear
1958,On the Road,based on novel cemetery narration nudity funeral,83770,Adventure Drama,Garrett Hedlund Sam Riley Kristen Stewart Amy Adams Tom Sturridge,Walter Salles,on the road base on novel cemeteri narrat nuditi funer 83770 adventur drama garrett hedlund sam riley kristen stewart ami adam tom sturridg walter sall
1959,Star Trek IV: The Voyage Home,saving the world san francisco uss enterprise-a time travel whale,168,Science Fiction Adventure,William Shatner Leonard Nimoy DeForest Kelley James Doohan George Takei,Leonard Nimoy,star trek iv: the voyag home save the world san francisco uss enterprise-a time travel whale 168 scienc fiction adventur william shatner leonard nimoy deforest kelley jame doohan georg takei leonard nimoy
1960,Rocky Balboa,philadelphia transporter fight love of one's life publicity,1246,Drama,Sylvester Stallone Burt Young Milo Ventimiglia Geraldine Hughes James Francis Kelly III,Sylvester Stallone,rocki balboa philadelphia transport fight love of one' life public 1246 drama sylvest stallon burt young milo ventimiglia geraldin hugh jame franci kelli iii sylvest stallon
1961,Scream 2,film festivals slaughter slasher,4233,Horror Mystery,David Arquette Neve Campbell Courteney Cox Sarah Michelle Gellar Jamie Kennedy,Wes Craven,scream 2 film festiv slaughter slasher 4233 horror mysteri david arquett neve campbel courteney cox sarah michel gellar jami kennedi we craven
1962,Jane Got a Gun,,174751,Action Drama Western,Natalie Portman Joel Edgerton Ewan McGregor Noah Emmerich Boyd Holbrook,Gavin O'Connor,jane got a gun nan 174751 action drama western natali portman joel edgerton ewan mcgregor noah emmerich boyd holbrook gavin o'connor
1963,Think Like a Man Too,,184098,Comedy Romance,Adam Brody Michael Ealy Jerry Ferrara Meagan Good Regina Hall,Tim Story,think like a man too nan 184098 comedi romanc adam brodi michael eali jerri ferrara meagan good regina hall tim stori
1964,The Whole Nine Yards,bounty gangster boss montreal gangster dentist,2069,Comedy Crime,Bruce Willis Matthew Perry Rosanna Arquette Michael Clarke Duncan Kevin Pollak,Jonathan Lynn,the whole nine yard bounti gangster boss montreal gangster dentist 2069 comedi crime bruce willi matthew perri rosanna arquett michael clark duncan kevin pollak jonathan lynn
1965,Footloose,dancing dancer dance music dance teacher,1788,Drama Family Music Romance,Kevin Bacon John Lithgow Dianne Wiest Chris Penn Lori Singer,Herbert Ross,footloos danc dancer danc music danc teacher 1788 drama famili music romanc kevin bacon john lithgow diann wiest chri penn lori singer herbert ross
1966,Old School,sex doll streaking mouth to mouth resuscitation,11635,Comedy,Luke Wilson Will Ferrell Vince Vaughn Ellen Pompeo Leah Remini,Todd Phillips,old school sex doll streak mouth to mouth resuscit 11635 comedi luke wilson will ferrel vinc vaughn ellen pompeo leah remini todd phillip
1967,The Fisher King,holy grail homeless person loss of lover mental disease sense of guilt,177,Comedy Drama,Jeff Bridges Robin Williams Mercedes Ruehl Amanda Plummer Michael Jeter,Terry Gilliam,the fisher king holi grail homeless person loss of lover mental diseas sens of guilt 177 comedi drama jeff bridg robin william merced ruehl amanda plummer michael jeter terri gilliam
1968,I Still Know What You Did Last Summer,competition island radio bahamas college,3600,Horror Mystery Thriller,Jennifer Love Hewitt Freddie Prinze Jr. Mekhi Phifer Brandy Norwood Muse Watson,Danny Cannon,i still know what you did last summer competit island radio bahama colleg 3600 horror mysteri thriller jennif love hewitt freddi prinz jr. mekhi phifer brandi norwood muse watson danni cannon
1969,Return to Me,transplantation love of one's life veterinarian woman director,2621,Romance Comedy Drama,David Duchovny Minnie Driver Carroll O'Connor Robert Loggia Jim Belushi,Bonnie Hunt,return to me transplant love of one' life veterinarian woman director 2621 romanc comedi drama david duchovni minni driver carrol o'connor robert loggia jim belushi bonni hunt
1970,Zack and Miri Make a Porno,pornography love of one's life platonic love pornographic video best friend,10358,Comedy,Seth Rogen Elizabeth Banks Jennifer Schwalbach Smith Jason Mewes Gerry Bednob,Kevin Smith,zack and miri make a porno pornographi love of one' life platon love pornograph video best friend 10358 comedi seth rogen elizabeth bank jennif schwalbach smith jason mew gerri bednob kevin smith
1971,Nurse Betty,independent film native american violence soap opera used car dealer,10480,Comedy Crime Thriller,Ren\u00e9e Zellweger Morgan Freeman Chris Rock Greg Kinnear Aaron Eckhart,Neil LaBute,nurs betti independ film nativ american violenc soap opera use car dealer 10480 comedi crime thriller ren\u00e9 zellweg morgan freeman chri rock greg kinnear aaron eckhart neil labut
1972,The Men Who Stare at Goats,vietnam veteran kuwait new age staring contest drug use,10313,Comedy War,George Clooney Ewan McGregor Jeff Bridges Kevin Spacey Robert Patrick,Grant Heslov,the men who stare at goat vietnam veteran kuwait new age stare contest drug use 10313 comedi war georg clooney ewan mcgregor jeff bridg kevin spacey robert patrick grant heslov
1973,Double Take,mexico cia fbi train,18828,Adventure Drama Action Comedy Romance,Orlando Jones Eddie Griffin Garcelle Beauvais Gary Grubbs Daniel Roebuck,George Gallo,doubl take mexico cia fbi train 18828 adventur drama action comedi romanc orlando jone eddi griffin garcel beauvai gari grubb daniel roebuck georg gallo
1974,"Girl, Interrupted",based on novel suicide attempt puberty biography borderline personality disorder,3558,Drama,Winona Ryder Angelina Jolie Clea DuVall Brittany Murphy Elisabeth Moss,James Mangold,"girl, interrupt base on novel suicid attempt puberti biographi borderlin person disord 3558 drama winona ryder angelina joli clea duval brittani murphi elisabeth moss jame mangold"
1975,Win a Date with Tad Hamilton!,celebrity romantic comedy male female relationship movie star,13476,Comedy Romance,Josh Duhamel Kate Bosworth Topher Grace Nathan Lane Sean Hayes,Robert Luketic,win a date with tad hamilton! celebr romant comedi male femal relationship movi star 13476 comedi romanc josh duhamel kate bosworth topher grace nathan lane sean hay robert luket
1976,Muppets from Space,puppet the muppets,10208,Fantasy Comedy Science Fiction Family,Steve Whitmire Dave Goelz Bill Barretta Frank Oz Jerry Nelson,Tim Hill,muppet from space puppet the muppet 10208 fantasi comedi scienc fiction famili steve whitmir dave goelz bill barretta frank oz jerri nelson tim hill
1977,The Wiz,melancholy little dog based on stage musical based on film wizard,24961,Adventure Family Fantasy Music,Diana Ross Michael Jackson Nipsey Russell Ted Ross Theresa Merritt,Sidney Lumet,the wiz melancholi littl dog base on stage music base on film wizard 24961 adventur famili fantasi music diana ross michael jackson nipsey russel ted ross theresa merritt sidney lumet
1978,Ready to Rumble,wrestling sport,20697,Action Comedy Drama,David Arquette Scott Caan Oliver Platt Rose McGowan Bill Goldberg,Brian Robbins,readi to rumbl wrestl sport 20697 action comedi drama david arquett scott caan oliv platt rose mcgowan bill goldberg brian robbin
1979,Play It to the Bone,sport,20761,Comedy Drama,Antonio Banderas Woody Harrelson Lolita Davidovich Tom Sizemore Lucy Liu,Ron Shelton,play it to the bone sport 20761 comedi drama antonio bandera woodi harrelson lolita davidovich tom sizemor luci liu ron shelton
1980,I Don't Know How She Does It,pregnancy family vacation widower working mum in-laws,70868,Romance Comedy,Sarah Jessica Parker Pierce Brosnan Sarah Shahi Busy Philipps Olivia Munn,Douglas McGrath,i don't know how she doe it pregnanc famili vacat widow work mum in-law 70868 romanc comedi sarah jessica parker pierc brosnan sarah shahi busi philipp olivia munn dougla mcgrath
1981,Piranha 3D,yacht movie in movie scuba diving piranha spring break,43593,Comedy Horror,Elisabeth Shue Adam Scott Jerry O'Connell Steven R. McQueen Jessica Szohr,Alexandre Aja,piranha 3d yacht movi in movi scuba dive piranha spring break 43593 comedi horror elisabeth shue adam scott jerri o'connel steven r. mcqueen jessica szohr alexandr aja
1982,Beyond the Sea,musical perfectionist rowboat courtship,6478,Drama Music,Kevin Spacey Kate Bosworth John Goodman Bob Hoskins Brenda Blethyn,Kevin Spacey,beyond the sea music perfectionist rowboat courtship 6478 drama music kevin spacey kate bosworth john goodman bob hoskin brenda blethyn kevin spacey
1983,Meet the Deedles,,40688,Animation Comedy Family,Paul Walker John Ashton Dennis Hopper Eric Braeden Richard Lineback,Steve Boyum,meet the deedl nan 40688 anim comedi famili paul walker john ashton denni hopper eric braeden richard lineback steve boyum
1984,The Thief and the Cobbler,prophecy witch princess battle desert,26672,Adventure Fantasy Animation Science Fiction Family,Vincent Price Anthony Quayle Sean Connery Joan Sims Paul Matthews,Richard Williams,the thief and the cobbler propheci witch princess battl desert 26672 adventur fantasi anim scienc fiction famili vincent price anthoni quayl sean conneri joan sim paul matthew richard william
1985,The Bridge of San Luis Rey,based on novel bridge peru period drama 18th century,45881,Romance Drama,Gabriel Byrne F. Murray Abraham Kathy Bates Robert De Niro Harvey Keitel,Mary McGuckian,the bridg of san lui rey base on novel bridg peru period drama 18th centuri 45881 romanc drama gabriel byrn f. murray abraham kathi bate robert de niro harvey keitel mari mcguckian
1986,Faster,,41283,Crime Drama Action Thriller,Dwayne Johnson Billy Bob Thornton Maggie Grace Carla Gugino Tom Berenger,"George Tillman, Jr.","faster nan 41283 crime drama action thriller dwayn johnson billi bob thornton maggi grace carla gugino tom bereng georg tillman, jr."
1987,Howl's Moving Castle,flying witch rain castle scarecrow,4935,Fantasy Animation Adventure,Takuya Kimura Akihiro Miwa Tatsuya Gash\u00fbin Mitsunori Isaki Yo Oizumi,Hayao Miyazaki,howl' move castl fli witch rain castl scarecrow 4935 fantasi anim adventur takuya kimura akihiro miwa tatsuya gash\u00fbin mitsunori isaki yo oizumi hayao miyazaki
1988,Zombieland,washington d.c. sister sister relationship post-apocalyptic road trip blood splatter,19908,Comedy Horror,Jesse Eisenberg Woody Harrelson Emma Stone Abigail Breslin Amber Heard,Ruben Fleischer,zombieland washington d.c. sister sister relationship post-apocalypt road trip blood splatter 19908 comedi horror jess eisenberg woodi harrelson emma stone abigail breslin amber heard ruben fleischer
